title,year,crew_pct_women,crew_n,cast_pct_women,cast_n,bechdel_score,bechdel_desc
Max,2015,0.36363636363636365,11.0,0.18181818181818182,11.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Pixels,2015,0.058823529411764705,17.0,Missing,Missing,Missing,Missing
Allegiant,2016,Missing,Missing,Missing,Missing,Missing,Missing
Fantastic Beasts and Where to Find Them,2016,0.35,20.0,Missing,Missing,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Bad Boys for Life,2018,insufficient sample,6.0,insufficient sample,2.0,Missing,Missing
Elle l'adore,2014,Missing,Missing,insufficient sample,2.0,Missing,Missing
Gia panta,2014,Missing,Missing,Missing,Missing,Missing,Missing
Curfew,2012,insufficient sample,3.0,Missing,Missing,Missing,Missing
Got the Facts on Milk?,2011,Missing,Missing,Missing,Missing,Missing,Missing
Lioness,2008,Missing,Missing,Missing,Missing,Missing,Missing
Dawg Fight,2015,insufficient sample,1.0,Missing,Missing,Missing,Missing
K2: Siren of the Himalayas,2012,Missing,Missing,Missing,Missing,Missing,Missing
The Men Who Built America,2012,Missing,Missing,Missing,Missing,Missing,Missing
Gunnm,1993,insufficient sample,2.0,insufficient sample,2.0,Missing,Missing
Daddy and the Muscle Academy,1991,Missing,Missing,Missing,Missing,Missing,Missing
Sebbe,2010,insufficient sample,1.0,insufficient sample,1.0,Missing,Missing
Mission Blue,2014,insufficient sample,8.0,insufficient sample,1.0,Missing,Missing
E-Team,2014,Missing,Missing,Missing,Missing,Missing,Missing
"The Man Nobody Knew: In Search of My Father, CIA Spymaster William Colby",2011,Missing,Missing,Missing,Missing,Missing,Missing
Die Friseuse,2010,insufficient sample,1.0,insufficient sample,5.0,Missing,Missing
Chocolate City,2015,insufficient sample,3.0,Missing,Missing,Missing,Missing
Prime Suspect: Scent of Darkness,1995,Missing,Missing,insufficient sample,8.0,Missing,Missing
Madras Cafe,2013,insufficient sample,1.0,insufficient sample,3.0,Missing,Missing
Binta y la gran idea,2004,Missing,Missing,Missing,Missing,Missing,Missing
West Bank Story,2005,Missing,Missing,insufficient sample,2.0,Missing,Missing
Skills Like This,2007,insufficient sample,1.0,insufficient sample,3.0,Missing,Missing
àºˆàº±àº™àº—àº°àº¥àºµ,2013,Missing,Missing,Missing,Missing,Missing,Missing
Camp Takota,2014,insufficient sample,7.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Hamari Adhuri Kahani,2015,insufficient sample,3.0,insufficient sample,4.0,Missing,Missing
