,title,year,crew_pct_women,crew_n,cast_pct_women,cast_n,bechdel_desc,bechdel_score,synopsis
206,White Man's Burden,1995,Missing,Missing,insufficient sample,5.0,Missing,Missing,"The story takes place in alternative America where the blacks are members of social elite, and whites are inhabitants of inner city ghettos. Louis Pinnock is a white worker in a chocolate factory, loving husband and father of two children. While delivering a package for black CEO Thaddeus Thomas, he is mistaken for a voyeur and, as a result, loses his job, gets beaten by black cops and his family gets evicted from their home. Desperate Pinnock takes a gun and kidnaps Thomas, demanding justice."
209,Bushwhacked,1995,0.0,4.0,insufficient sample,8.0,Missing,Missing,"A inept courier realises he has been used by criminals to deliver money. On the run from both the criminals and police, he poses as a Scout leader and leads a scout group on a hike through the mountains."
212,Before Sunrise,1995,0.5714285714285714,7.0,insufficient sample,7.0,Fewer than two women in this movie,0,"On his way to Vienna, American Jesse meets Céline, a student returning to Paris. After long conversations forge a surprising connection between them, Jesse convinces Celine to get off the train with him in Vienna. Since his flight to the U.S. departs the next morning and he has no money for lodging, they wander the city together, taking in the experiences of Vienna and each other."
213,Billy Madison,1995,0.2777777777777778,18.0,0.21428571428571427,14.0,"There are two or more women in this movie, but they don't talk to each other",1,"Billy Madison is the 27 year-old son of Bryan Madison, a very rich man who has made his living in the hotel industry. Billy stands to inherit his father's empire but only if he can make it through all 12 grades, 2 weeks per grade, to prove that he has what it takes to run the family business."
215,Boys on the Side,1995,0.0,7.0,insufficient sample,6.0,There are two or more women in this movie and they talk to each other about something other than a man,3,"After breaking up with her girlfriend, a nightclub singer, Jane, answers a personal ad from Robin, a real estate agent with AIDS, seeking a cross-country travel partner. On their journey from New York City to Los Angeles, the two stop by Pittsburgh to pick up Robin's friend Holly, who is trying to escape an abusive relationship. With three distinct personalities, the women must overcome their differences to help one another."
216,The Cure,1995,0.0,4.0,insufficient sample,7.0,Missing,Missing,"Dexter, age 11, who has AIDS, and his next door neighbor Eric, a little older and much bigger, become best friends. Eric also becomes closer to Dexter's mother than to his own, who is neglectful and bigoted and violently forbids their friendship upon learning of it. Dexter and Erik start the journey to find ""The Cure"" they had read about in the local newspaper."
217,Castle Freak,1995,0.0,13.0,Missing,Missing,Missing,Missing,John has inherited a castle in Italy and he moves there with his wife Susan and their blind daughter Rebecca. What they don't realize is that there is somebody else in the castle--an abused child left to die in the basement who has now become the castle freak and is out to wreak havoc.
218,Circle of Friends,1995,Missing,Missing,Missing,Missing,There are two or more women in this movie and they talk to each other about something other than a man,3,"Three girlhood friends now at college share first loves, first kisses and first betrayals. At the center of it all is the best-looking boy on campus. Can a self-conscious dreamer hook the biggest fish in the pond?"
219,Clerks,1994,0.0,6.0,Missing,Missing,Missing,Missing,"Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives."
220,Don Juan DeMarco,1994,0.1111111111111111,9.0,0.5833333333333334,12.0,Missing,Missing,"John Arnold DeMarco is a man who believes he is Don Juan, the greatest lover in the world. Clad in a cape and mask, DeMarco undergoes psychiatric treatment with Dr. Jack Mickler to cure him of his apparent delusion. But the psychiatric sessions have an unexpected effect on the psychiatric staff and, most profoundly, Dr Mickler, who rekindles the romance in his complacent marriage."
221,Disclosure,1994,0.0,6.0,0.5,12.0,Missing,Missing,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life."
222,Dream Man,1995,0.0,1.0,Missing,Missing,Missing,Missing,"Kris is a homicide cop with psychic abilities. She works to prove that the prime suspect in her latest case (the much younger husband of the millionaire victim) is innocent. But are her visions true, or planned by someone who knows what she can see?"
223,Drop Zone,1994,0.07692307692307693,13.0,insufficient sample,8.0,"There are two or more women in this movie, but they only talk to each other about a man",2,A team of skydiving crooks led by DEA-agent-turned-bad Ty Moncrief (Busey) specialize in landing on police roofs and breaking in so their evil computer nerd can steal undercover agents' files and sell them to drug lords. Federal Marshal Pete Nessip (Snipes) lost a brother to this crew and learns skydiving with the help of tough-but-lovable instructor Jessie Crossmann (Butler) so he can track them down.
224,Destiny Turns on the Radio,1995,0.0,3.0,insufficient sample,5.0,Missing,Missing,"Johnny Destiny burns into Las Vegas in his hot Plymouth RoadRunner, stopping only to pick up a stranger stranded in the desert. But then, things aren't always as they seem. Anything can happen in that town of many possibilities...especially since there's been some weird electrical disturbances. As the stranger, fresh out of prison, tries to put his life back together--to recover his money from an old bank heist and the girl he lost in doing the job--something keeps interfering with his plans. Is it fate...or just Destiny?"
225,Death and the Maiden,1994,0.46153846153846156,13.0,Missing,Missing,Fewer than two women in this movie,0,A political activist is convinced that her guest is a man who once tortured her for the government.
226,Dolores Claiborne,1995,0.09090909090909091,11.0,insufficient sample,8.0,There are two or more women in this movie and they talk to each other about something other than a man,3,"Dolores Claiborne was accused of killing her abusive husband twenty years ago, but the court's findings were inconclusive and she was allowed to walk free. Now she has been accused of killing her employer, Vera Donovan, and this time there is a witness who can place her at the scene of the crime. Things look bad for Dolores when her daughter Selena, a successful Manhattan magazine writer, returns to cover the story."
227,Dumb and Dumber,1994,Missing,Missing,Missing,Missing,Missing,Missing,"Lloyd and Harry are two men whose stupidity is really indescribable. When Mary, a beautiful woman, loses an important suitcase with money before she leaves for Aspen, the two friends (who have found the suitcase) decide to return it to her. After some ""adventures"" they finally get to Aspen where, using the lost money they live it up and fight for Mary's heart."
229,Exotica,1994,0.0,2.0,Missing,Missing,Missing,Missing,"In the upscale Toronto strip club Exotica, dancer Christina is visited nightly by the obsessive Francis, a depressed tax auditor. Her ex-boyfriend, the club's MC, Eric, still jealously pines for her even as he introduces her onstage, but Eric is having his own relationship problems with the club's female owner. Thomas, a mysterious pet-shop owner, is about to become unexpectedly involved in their lives."
230,Exit to Eden,1994,0.5384615384615384,13.0,Missing,Missing,Missing,Missing,"Elliot is going to the island of Eden to live out his submissive fantasies, but inadvertently photographs diamond smugglers at work. Smugglers, and detectives, follow him to the island, where they try to retrieve the film. Elliot begins falling in love with Lisa, the head mistress of the island, and Lisa must evaluate her feelings about Elliot and her own motivations."
231,Ed Wood,1994,0.2222222222222222,18.0,Missing,Missing,There are two or more women in this movie and they talk to each other about something other than a man,3,"The mostly true story of the legendary ""worst director of all time"", who, with the help of his strange friends, filmed countless B-movies without ever becoming famous or successful."
232,French Kiss,1995,0.14285714285714285,7.0,insufficient sample,7.0,"There are two or more women in this movie, but they only talk to each other about a man",2,The plot involves a couple in love and one woman’s attempt to fly to Paris to get her lover back from a business trip and marry him. On the way she unknowingly smuggles something of value that has a petty thief chasing her across France as she chases after her future husband.
233,Forget Paris,1995,0.0,9.0,0.4,15.0,Missing,Missing,"Mickey Gordon is a basketball referee who travels to France to bury his father. Ellen Andrews is an American living in Paris who works for the airline he flies on. They meet and fall in love, but their relationship goes through many difficult patches. The story is told in flashback by their friends at a restaurant waiting for them to arrive."
234,Far from Home: The Adventures of Yellow Dog,1995,Missing,Missing,insufficient sample,8.0,Missing,Missing,"Teenager Angus adopts a stray dog and names him Yellow. Several days later, while travelling along the coast of British Columbia with Angus's father, John, the boy and dog become stranded when turbulent waters capsize their boat. Angus's parents relentlessly badger rescue teams. Angus, schooled by his father in wilderness survival skills, and assisted by the intelligent Yellow Dog, tries to attract rescuers."
235,A Goofy Movie,1995,0.0,13.0,0.26666666666666666,15.0,"There are two or more women in this movie, but they only talk to each other about a man",2,"Though Goofy always means well, his amiable cluelessness and klutzy pratfalls regularly embarrass his awkward adolescent son, Max. When Max's lighthearted prank on his high-school principal finally gets his longtime crush, Roxanne, to notice him, he asks her on a date. Max's trouble at school convinces Goofy that he and the boy need to bond over a cross-country fishing trip like the one he took with his dad when he was Max's age, which throws a kink in his son's plans to impress Roxanne."
236,Hideaway,1995,0.0,2.0,insufficient sample,5.0,Missing,Missing,"Hatch Harrison, his wife, Lindsey, and their daughter, Regina, are enjoying a pleasant drive when a car crash leaves wife and daughter unharmed but kills Hatch. However, an ingenious doctor, Jonas Nyebern, manages to revive Hatch after two lifeless hours. But Hatch does not come back unchanged. He begins to suffer horrible visions of murder -- only to find out the visions are the sights of a serial killer."
237,Fluke,1995,0.3333333333333333,12.0,Missing,Missing,Missing,Missing,"Workaholic Thomas Johnson dies in an auto accident and comes back to life as a dog. Remembering some of who he was, he returns to his wife and son to protect them from the man who caused his accident. But, as time goes by, he remembers more of his life, and realizes he wasn't such a good husband and father."
238,Farinelli,1994,0.3333333333333333,3.0,insufficient sample,3.0,Missing,Missing,"Farinelli is a 1994 biopic film about the life and career of Italian opera singer Farinelli, considered one of the greatest castrato singers of all time."
239,Gordy,1995,Missing,Missing,insufficient sample,2.0,Missing,Missing,A talking pig named Gordy becomes involved in a quest to save his family from the slaughterhouse.
240,Gumby: The Movie,1995,Missing,Missing,Missing,Missing,Missing,Missing,"The band is back together! Gumby reunites with The Clayboys to perform at a concert benefiting local farmers. But things take an unexpected turn when Gumby s dog, Lowbelly, reacts to the music by crying tears of real pearl! Fortune turns into disaster as Gumby s archenemies, the Blockheads, devise an elaborate scheme to dognap Lowbelly and harvest her pearls for themselves. When the Blockheads initial plan fails, they kidnap The Clayboys as well...and replace them with clones! The battle between Clayboys and clones is filled with trains and planes, knights and fights, thrills and spills. True to classic Gumby adventures, Gumby: The Movie takes viewers in and out of books, to Toyland, Camelot, outer space and beyond!"
241,The Glass Shield,1994,0.14285714285714285,7.0,0.18181818181818182,22.0,Missing,Missing,"J.J. is a rookie in the Sheriff's Department and the first black officer at that station. Racial tensions run high in the department as some of J.J.'s fellow officers resent his presence. His only real friend is the other new trooper, the first female officer to work there, who also suffers similar discrimination in the otherwise all-white male work environment. When J.J. becomes increasingly aware of police corruption during the murder trial of Teddy Woods, whom he helped to arrest, he faces difficult decisions and puts himself into grave personal danger in the service of justice."
242,Hoop Dreams,1994,0.0,3.0,insufficient sample,3.0,Missing,Missing,"Every school day, African-American teenagers William Gates and Arthur Agee travel 90 minutes each way from inner-city Chicago to St. Joseph High School in Westchester, Illinois, a predominately white suburban school well-known for the excellence of its basketball program. Gates and Agee dream of NBA stardom, and with the support of their close-knit families, they battle the social and physical obstacles that stand in their way. This acclaimed documentary was shot over the course of five years."
243,Heavenly Creatures,1994,0.125,8.0,Missing,Missing,There are two or more women in this movie and they talk to each other about something other than a man,3,"Wealthy and precocious teenager Juliet transfers from England to New Zealand with her family, and soon befriends the quiet, brooding Pauline through their shared love of fantasy and literature. When their parents begin to suspect that their increasingly intense and obsessive bond is becoming unhealthy, the girls hatch a dark plan for those who threaten to keep them apart."
244,Houseguest,1995,Missing,Missing,insufficient sample,8.0,Missing,Missing,"In hot water with the mob over an unpaid debt, a con man poses as a family friend in an affluent Pennsylvania suburb."
245,Immortal Beloved,1994,0.0,5.0,0.3333333333333333,15.0,Missing,Missing,"The life and death of the legendary Ludwig van Beethoven. Beside all the work he is known for, the composer once wrote a famous love letter to a nameless beloved and the movie tries to find out who this beloved was. Not easy as Beethoven has had many women in his life."
246,Heavyweights,1995,0.0,3.0,Missing,Missing,Fewer than two women in this movie,0,"Camp Hope is a summer retreat for overweight boys run by a kindly couple who make the campers feel comfortable with their extra pounds. But when tyrannical fitness guru Tony buys the camp, he puts the kids on a cruel regimen that goes too far. Sick of the endless weeks of ""all work and no play,"" the kids stage a coup and reclaim their summer of fun."
248,I.Q.,1994,0.2,10.0,0.09090909090909091,11.0,Fewer than two women in this movie,0,Albert Einstein helps a young man who's in love with Einstein's niece to catch her attention by pretending temporarily to be a great physicist.
249,Interview with the Vampire,1994,0.38461538461538464,13.0,0.46153846153846156,13.0,"There are two or more women in this movie, but they don't talk to each other",1,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter."
250,Jefferson in Paris,1995,0.3333333333333333,3.0,Missing,Missing,Missing,Missing,"His wife having recently died, Thomas Jefferson accepts the post of United States ambassador to pre-revolutionary France, though he finds it difficult to adjust to life in a country where the aristocracy subjugates an increasingly restless peasantry. In Paris, he becomes smitten with cultured artist Maria Cosway, but, when his daughter visits from Virginia accompanied by her attractive slave, Sally Hemings, Jefferson's attentions are diverted."
251,The Jerky Boys,1995,Missing,Missing,insufficient sample,8.0,Missing,Missing,"When two unemployed telephone pranksters decide to use their vocal ""talents"" to impersonate a Chicago mob boss and curry favor with organized crime in New York, the trouble begins. It isn't long before Johnny and Kamal (the ""Jerky Boys"" of crank call fame) are wanted by the local mafia, the police, and their neighbor."
252,Junior,1994,0.25,8.0,Missing,Missing,Missing,Missing,"As part of a fertility research project, a male scientist agrees to carry a pregnancy in his own body."
253,Just Cause,1995,0.3333333333333333,24.0,0.675,40.0,Missing,Missing,"Bobby Earl is facing the electric chair for the murder of a young girl. Eight years after the crime he calls in Paul Armstrong, a professor of law, to help prove his innocence. Armstrong quickly uncovers some overlooked evidence to present to the local police, but they aren't interested - Bobby was their killer."
254,A Kid in King Arthur's Court,1995,Missing,Missing,insufficient sample,6.0,Missing,Missing,"A Southern California kid named Calvin Fuller is magically transported to the medieval kingdom of Camelot through a crack in the ground caused by an earthquake. Once there, he learns he was summoned by the wizard Merlin, who needs Calvin to save Camelot. Using dazzling modern inventions, can Calvin help King Arthur retain his crown and thwart the evil Lord Belasco?"
255,Kiss of Death,1995,0.0,4.0,insufficient sample,10.0,Missing,Missing,"Jimmy Kilmartin is an ex-con living in Astoria in the New York City borough of Queens, trying to stay clean and raising a family with his wife Bev. But when his cousin Ronnie causes him to take a fall for driving an illegal transport of stolen cars, a police officer named Calvin Hart is injured and Jimmy lands back in prison. In exchange for an early release, he is asked to help bring down a local crime boss named Little Junior Brown.  Jimmy remarries and attempts to renew a relationship with his child. But he is sent undercover by Detective Hart to work with Junior and infiltrate his operations. As soon as Little Junior kills an undercover federal agent with Jimmy watching, the unscrupulous district attorney and the feds further complicate his life. He must take down Junior or face the consequences."
256,Star Wars,1977,0.16666666666666666,18.0,Missing,Missing,Missing,Missing,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.
258,A Little Princess,1995,0.16666666666666666,18.0,insufficient sample,8.0,There are two or more women in this movie and they talk to each other about something other than a man,3,"When her father enlists to fight for the British in WWI, young Sara Crewe goes to New York to attend the same boarding school her late mother attended. She soon clashes with the severe headmistress, Miss Minchin, who attempts to stifle Sara's creativity and sense of self- worth."
259,Ladybird Ladybird,1994,0.3333333333333333,3.0,Missing,Missing,Missing,Missing,"Maggie has had four children, by four different fathers, removed by social services because of a previous violent relationship. When she meets Jorge, a gentle Latin American refugee, she gradually sees her chance for happiness, but her history still haunts her."
260,L'Enfer,1994,0.0,2.0,insufficient sample,6.0,Missing,Missing,"Paul, an irritable and stressed-out hotel manager, begins to gradually develop paranoid delusions about his wife's infidelity..."
261,Como agua para chocolate,1992,0.5,8.0,insufficient sample,10.0,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious",3,"Tita is passionately in love with Pedro, but her controlling mother forbids her from marrying him. When Pedro marries her sister, Tita throws herself into her cooking and discovers she can transfer her emotions through the food she prepares, infecting all who eat it with her intense heartbreak."
262,Legends of the Fall,1994,0.25,16.0,Missing,Missing,There are two or more women in this movie and they talk to each other about something other than a man,3,"An epic tale of three brothers and their father living in the remote wilderness of 1900s USA and how their lives are affected by nature, history, war, and love."
263,Major Payne,1995,0.0,7.0,Missing,Missing,Missing,Missing,"Major Benson Winifred Payne is being discharged from the Marines. Payne is a killin' machine, but the wars of the world are no longer fought on the battlefield. A career Marine, he has no idea what to do as a civilian, so his commander finds him a job - commanding officer of a local school's JROTC program, a bunch of ragtag losers with no hope."
264,Little Odessa,1994,0.25,12.0,insufficient sample,7.0,Missing,Missing,"The film follows the personal relationship between a father and his two sons, one of whom is a hit-man for the Russian mafia in Brooklyn."
265,Mi Vida Loca,1994,0.5714285714285714,7.0,insufficient sample,6.0,Missing,Missing,"Mousie and Sad Girl are childhood best friends in a contemporary Los Angeles poor Hispanic neighborhood. But when Sad Girl becomes pregnant by Mousie's boyfriend, a drug dealer named Ernesto, the two become bitter enemies. While their dispute escalates towards violence, the violence of the world around them soon also impacts their lives."
267,Losing Isaiah,1995,0.5,4.0,insufficient sample,9.0,Missing,Missing,"Khaila Richards, a crack-addicted single mother, accidentally leaves her baby in a dumpster while high and returns the next day in a panic to find he is missing. In reality, the baby has been adopted by a warm-hearted social worker, Margaret Lewin, and her husband, Charles. Years later, Khaila has gone through rehab and holds a steady job. After learning that her child is still alive, she challenges Margaret for the custody."
268,The Madness of King George,1994,0.0,6.0,Missing,Missing,Missing,Missing,King George III's erratic behaviour leads to a plot in Parliament to have him declared insane and removed from the throne.
271,Mixed Nuts,1994,0.2857142857142857,14.0,0.42857142857142855,14.0,Missing,Missing,The events of a crisis hotline business on one crazy night during the Christmas holidays.
272,Milk Money,1994,0.25,8.0,insufficient sample,9.0,Missing,Missing,"Three young boys pool their money and pay V, a kindhearted prostitute, to strip for them. Afterward, she drives them home to the suburbs -- but then her car breaks down. It's just as well, though, because a mobster named Waltzer is after her, and V realizes the suburbs are the perfect place to hide. But things get a lot more complicated when V falls in love with Tom, a single father who is unaware of her real profession."
273,Miracle on 34th Street,1994,0.0,8.0,insufficient sample,9.0,Missing,Missing,"Six-year-old Susan Walker has doubts about childhood's most enduring miracle—Santa Claus. Her mother told her the secret about Santa a long time ago, but, after meeting a special department store Santa who's convinced he's the real thing, Susan is given the most precious gift of all—something to believe in."
274,Miami Rhapsody,1995,0.0,2.0,insufficient sample,5.0,Missing,Missing,"Gwyn Marcus has always wanted a marriage like her parents. She has just accepted the proposal of her boyfriend Matt, but she has misgivings about their future together. Her fear of commitment grows as she learns of the various affairs that her family is having. With her sister getting married and her brother already married, her mother is growing concerned about Gwyn's being the last single person in the family. But the more she thinks about marriage, the more she must search for the balance between career, marriage and family."
276,Murder in the First,1995,0.0,4.0,insufficient sample,9.0,Missing,Missing,"Inspired by a true story. A petty criminal sent to Alcatraz in the 1930s is caught attempting to make an escape. As punishment he is put in solitary confinement. The maximum stay is supposed to be 19 days, but Henri spends years alone, cold and in complete darkness, only to emerge a madman and soon to be a murderer. The story follows a rookie lawyer attempting to prove that Alcatraz was to blame."
278,Nell,1994,0.2727272727272727,11.0,Missing,Missing,Missing,Missing,"In a remote woodland cabin, a small town doctor discovers Nell - a beautiful young hermit woman with many secrets."
279,New Jersey Drive,1995,0.0,4.0,insufficient sample,7.0,Missing,Missing,"New Jersey Drive is a 1995 film about black youths in Newark, New Jersey, the unofficial ""car theft capital of the world"". Their favorite pastime is that of everybody in their neighborhood: stealing cars and joyriding. The trouble starts when they steal a police car and the cops launch a violent offensive that involves beating and even shooting suspects."
280,New York Cop,1993,0.0,1.0,insufficient sample,10.0,Missing,Missing,"Allegedly based on a true story, this film follows the life of Toshi, a Japanese man living in America and working with the New York City police. After being recommended for undercover work, Toshi decides to go after a gang lead by Hawk. Hawk and Toshi soon become friends, although Hawk's second-in-command, Tito, is suspicious of the newcomer. Will Toshi be able to bring the gang down, or will his cover be blown before he can finish the assignment?"
281,Beyond Bedlam,1994,0.0,3.0,insufficient sample,6.0,Missing,Missing,An experiment gone awry places a neurologist (Elizabeth Hurley) and a homicide detective (Craig Fairbrass) in a psychopath's (Keith Allen) nightmarish world.
282,Nemesis 2 - Nebula,1995,0.0,2.0,insufficient sample,5.0,Missing,Missing,"It has been 73 years since Alex failed and the Humans lost the Cyborg Wars. Since then, the Humans have been enslaved. Scientists have developed a new DNA strain, which could signal the end of the Cyborgs, and they inject it into a volunteer. When the Cyborgs learn of the woman and the baby they list both for termination."
283,Nina Takes a Lover,1995,0.0,2.0,Missing,Missing,Missing,Missing,"Laura San Giacomo stars in this sexy comedy about adultery. When Nina's (San Giacomo) husband goes out of town for several weeks on a business trip, Nina hooks up with a photographer. Told from a reporter's point of view, his interviews with Nina and the photographer provide comic insights. Stars Laura San Giacomo, Paul Rhys, Michael O'Keefe, Fisher Stevens and more."
284,Natural Born Killers,1994,0.17647058823529413,17.0,Missing,Missing,There are two or more women in this movie and they talk to each other about something other than a man,3,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.
285,Only You,1994,0.2,5.0,insufficient sample,8.0,Missing,Missing,"A childhood incident has convinced Faith Corvatch that her true love is a guy named ""Damon Bradley,"" but she has yet to meet him. Preparing to settle down and marry a foot doctor, Faith impulsively flies to Venice when it seems that she may be able to finally encounter the man of her dreams. Instead, she meets the charming Peter Wright. But can they fall in love if she still believes that she is intended to be with someone else?"
286,Once Were Warriors,1994,0.0,3.0,Missing,Missing,Missing,Missing,"A drama about a Maori family living in Auckland, New Zealand. Lee Tamahori tells the story of Beth Heke’s strong will to keep her family together during times of unemployment and abuse from her violent and alcoholic husband."
287,Poison Ivy II: Lily,1996,1.0,1.0,insufficient sample,5.0,Missing,Missing,"A young and naive college art student becomes obsessed with assuming the identity and personality of a departed coed who used to live in her room, and in so doing causes complications that result in two men, a student and her art professor, lusting after her."
288,Outbreak,1995,0.15384615384615385,13.0,0.14285714285714285,14.0,There are two or more women in this movie and they talk to each other about something other than a man,3,"A deadly airborne virus finds its way into the USA and starts killing off people at an epidemic rate. Col Sam Daniels' job is to stop the virus spreading from a small town, which must be quarantined, and to prevent an over reaction by the White House."
290,The Perez Family,1995,Missing,Missing,insufficient sample,7.0,Missing,Missing,"In the midst of the Mariel boat lift -- a hurried exodus of refugees from Cuba going to America -- an immigration clerk accidentally presumes that dissident Juan Raul Perez and Dorita Evita Perez are married. United by their last name and a mutual resolve to emigrate, Dorita and Juan agree to play along. But it gets complicated when the two begin falling for each other just as Juan reunites with his wife, Carmela, whom he hasn't seen in decades."
291,A Pyromaniac's Love Story,1995,0.3,10.0,insufficient sample,9.0,Missing,Missing,"A pastry boy and the son of a hair-piece mogul become involved in an arson scandal. Sergio is offered a bribe in exchange for taking the blame for the fire that destroys his workplace. Garet, the real arsonist, is apalled that someone else would try to take credit for his act of love. Before long, Sergio and Garet become entangled in a zany love-quadrangle involving Hattie and Stephanie. Written by Brian Whiting"
292,Pulp Fiction,1994,0.3333333333333333,33.0,Missing,Missing,There are two or more women in this movie and they talk to each other about something other than a man,3,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time."
296,Quiz Show,1994,Missing,Missing,Missing,Missing,"There are two or more women in this movie, but they only talk to each other about a man",2,Quiz Show is a 1994 American historical drama film which tells the true story of the Twenty One quiz show scandal of the 1950s.
297,Picture Bride,1995,Missing,Missing,insufficient sample,4.0,Missing,Missing,"Riyo, an orphaned 17-year old, sails from Yokohama to Hawaii in 1918 to marry Matsuji, a man she has never met. Hoping to escape a troubled past and start anew, Riyo is bitterly disappointed upon her arrival: her husband is twice her age. The miserable girl finds solace with her new friend Kana, a young mother who helps Riyo accept her new life."
298,La Reine Margot,1994,0.1,10.0,Missing,Missing,Missing,Missing,"The night of August 24, 1572, is known as the Massacre of St. Bartholomew. In France a religious war is raging. In order to impose peace a forced wedding is arranged between Margot de Valois, sister of the immature Catholic King Charles IX, and the Hugenot King Henri of Navarre. Catherine of Medici maintains her behind-the-scenes power by ordering assaults, poisonings, and instigations to incest."
299,The Quick and the Dead,1995,0.0,8.0,Missing,Missing,There are two or more women in this movie and they talk to each other about something other than a man,3,"A mysterious woman comes to compete in a quick-draw elimination tournament, in a town taken over by a notorious gunman."
300,Roommates,1995,Missing,Missing,insufficient sample,6.0,Missing,Missing,"An elderly, yet young-at-heart man, moves in with his grandson, and both their lives turn upside-down."
302,Trois couleurs : Rouge,1994,0.0,8.0,insufficient sample,7.0,Missing,Missing,"Part-time model Valentine meets a retired judge who lives in her neighborhood after she runs over his dog. At first the judge gifts Valentine with the dog, but her possessive boyfriend won't allow her to keep it. When she returns with the dog to the judge's house, she discovers him listening in on his neighbors' phone conversations. At first Valentine is outraged, but her debates with the judge over his behavior soon leads them to form a strange bond."
303,Trois couleurs : Bleu,1993,0.1,10.0,Missing,Missing,Missing,Missing,"Julie is haunted by her grief after living through a tragic auto wreck that claimed the life of her composer husband and young daughter. Her initial reaction is to withdraw from her relationships, lock herself in her apartment and suppress her pain. But avoiding human interactions on the bustling streets of Paris proves impossible, and she eventually meets up with Olivier, an old friend who harbors a secret love for her, and who could draw her back to reality."
304,Trois couleurs : Blanc,1994,0.2857142857142857,7.0,Missing,Missing,Missing,Missing,"Polish immigrant Karol Karol finds himself out of a marriage, a job and a country when his French wife, Dominique, divorces him after six months due to his impotence. Forced to leave France after losing the business they jointly owned, Karol enlists fellow Polish expatriate Mikolah to smuggle him back to their homeland."
305,Pao Da Shuang Deng,1994,0.0,1.0,Missing,Missing,Missing,Missing,"A woman inherits her father's fireworks factory, as he had no son. The business does well and everything works in an orderly fashion until one day, an itinerant painter is hired to decorate the doors and vases at the factory. The woman, forbidden to marry and thereby involve outsiders in the factory ownership, finds herself drawn to the headstrong painter. When they fall in love, the situation throws her entire life into disarray"
306,Rent-a-Kid,1995,0.0,2.0,Missing,Missing,Missing,Missing,"Harry Habert, owner of a rent office has an original idea: To rent babies from a nearby orphanage to the local families. He rents the Ward brothers to his first customers..."
307,Relative Fear,1995,0.0,2.0,insufficient sample,9.0,Missing,Missing,"Linda and Peter Pratman's son Adam is autistic, but they still love him and hope that he'll at least start talking some day. However he's teased and abused by the kids of the neighborhood and his grandpa . When several people around Adam die an unexpected death, his parents start to suspect Adam - is he just simulating to be so ignorant about his environment?"
308,Stuart Saves His Family,1995,0.0,3.0,Missing,Missing,Missing,Missing,"Stuart Smalley, the Saturday Night Live character, comes to the big screen. Stuart, the disciple of the 12 step program, is challenged by lifes injustices."
309,The Swan Princess,1994,Missing,Missing,Missing,Missing,"There are two or more women in this movie, but they don't talk to each other",1,"The beautiful princess Odette is transformed into a swan by an evil sorcerer's spell. Held captive at an enchanted lake, she befriends Jean-Bob the frog, Speed the turtle and Puffin the bird. Despite their struggle to keep the princess safe, these good-natured creatures can do nothing about the sorcerer's spell, which can only be broken by a vow of everlasting love."
311,The Specialist,1994,0.3333333333333333,9.0,insufficient sample,6.0,"There are two or more women in this movie, but they don't talk to each other",1,"May Munro is a woman obsessed with getting revenge on the people who murdered her parents when she was still a girl. She hires Ray Quick, a retired explosives expert to kill her parent's killers. When Ned Trent, embittered ex-partner of Quick's is assigned to protect one of Quick's potential victims, a deadly game of cat and mouse ensues."
312,Stargate,1994,0.11764705882352941,17.0,Missing,Missing,"There are two or more women in this movie, but they don't talk to each other",1,"An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra."
313,The Santa Clause,1994,0.0,8.0,Missing,Missing,"There are two or more women in this movie, but they don't talk to each other",1,"Scott Calvin is an ordinary man, who accidentally causes Santa Claus to fall from his roof on Christmas Eve and is knocked unconscious. When he and his young son finish Santa's trip and deliveries, they go to the North Pole, where Scott learns he must become the new Santa and convince those he loves that he is indeed, Father Christmas."
314,The Shawshank Redemption,1994,Missing,Missing,Missing,Missing,Fewer than two women in this movie,0,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope."
315,Shallow Grave,1994,0.25,8.0,Missing,Missing,Missing,Missing,Three friends discover their new flatmate dead but loaded with cash.
