,title,year,crew_pct_women,crew_n,cast_pct_women,cast_n,bechdel_score,bechdel_desc,synopsis
5441,The Perfect Man,2005,insufficient sample,5.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man,"Holly is tired of moving every time her mom Jean breaks up with yet another second-rate guy. To distract her mother from her latest bad choice, Holly conceives the perfect plan for the perfect man, an imaginary secret admirer who will romance Jean and boost her self-esteem."
5445,The Bridge of San Luis Rey,2004,insufficient sample,4.0,Missing,Missing,Missing,Missing,"The Bridge of San Luis Rey is American author Thornton Wilder's second novel, first published in 1927 to worldwide acclaim. It tells the story of several interrelated people who die in the collapse of an Inca rope-fiber suspension bridge in Peru, and the events that lead up to their being on the bridge.[ A friar who has witnessed the tragic accident then goes about inquiring into the lives of the victims, seeking some sort of cosmic answer to the question of why each had to die. The novel won the Pulitzer Prize in 1928."
5447,Herbie Fully Loaded,2005,Missing,Missing,0.26666666666666666,15.0,3,There are two or more women in this movie and they talk to each other about something other than a man,"Maggie Peyton, the new owner of Number 53 - the free-wheelin' Volkswagen bug with a mind of its own - puts the car through its paces on the road to becoming a NASCAR competitor."
5449,Land of the Dead,2005,Missing,Missing,Missing,Missing,Missing,Missing,"The world is full of zombies and the survivors have barricaded themselves inside a walled city to keep out the living dead. As the wealthy hide out in skyscrapers and chaos rules the streets, the rest of the survivors must find a way to stop the evolving zombies from breaking into the city."
5450,Bewitched,2005,insufficient sample,8.0,0.5263157894736842,19.0,3,There are two or more women in this movie and they talk to each other about something other than a man,"Thinking he can overshadow an unknown actress in the part, an egocentric actor unknowingly gets a witch cast in an upcoming television remake of the classic show ""Bewitched""."
5451,Rize,2005,insufficient sample,3.0,insufficient sample,3.0,Missing,Missing,"A documentary film that highlights two street derived dance styles, Clowning and Krumping, that came out of the low income neighborhoods of L.A.. Director David LaChapelle interviews each dance crew about how their unique dances evolved. A new and positive activity away from the drugs, guns, and gangs that ruled their neighborhood. A raw film about a growing sub-culture movements in America."
5452,Exils,2004,insufficient sample,2.0,insufficient sample,2.0,Missing,Missing,"One day Zano suggest a crazy idea to his companion Naïma: travel across France and Spain down to Algeria, where they might ultimately come to know the land their parents once had to flee."
5454,Me and You and Everyone We Know,2005,insufficient sample,10.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man,A lonely shoe salesman and an eccentric performance artist struggle to connect in this unique take on contemporary life.
5455,Crimen Ferpecto,2004,insufficient sample,2.0,insufficient sample,6.0,Missing,Missing,A playboy has the tables turned on him when he finds himself being used as a plaything by an undesirable woman in this black comedy from Spain.
5458,Satan's Little Helper,2004,insufficient sample,7.0,Missing,Missing,Missing,Missing,A naïve young boy unknowingly becomes the pawn of a serial killer.
5459,Die fetten Jahre sind vorbei,2004,insufficient sample,5.0,insufficient sample,6.0,Missing,Missing,Three activists cobble together a kidnapping plot after they encounter a businessman in his home.
5460,Coronado,2003,Missing,Missing,insufficient sample,9.0,Missing,Missing,"An american woman, in search of her fiance', becomes involved in a revolution of a central-american country."
5461,Retrograde,2004,Missing,Missing,insufficient sample,8.0,Missing,Missing,Two time travelers with opposing views are sent back to the present aboard a research ship in the Antarctic to prevent a global biological disaster from occuring
5462,Trekkies 2,2004,Missing,Missing,Missing,Missing,Missing,Missing,sequel to the 1997 documentary film Trekkies.
5463,Man with the Screaming Brain,2005,0.0,12.0,insufficient sample,7.0,Missing,Missing,In 2005 Bruce Campbell directed his first ever feature film. The film stars Bruce Campbell as a wealthy CEO who travels to Bulgaria after the fall of communism. His plan was to do business for his U.S. drug company yet he is shortly caught up in some dirty situations and ends up with a brain transplant after his brain is severely damaged. Slapstick B-Movie science fiction on a low budget.
5466,Twenty Bucks,1993,Missing,Missing,0.4166666666666667,12.0,Missing,Missing,A story about the life of a twenty dollar bill as it weaves in and out of the various lives of several people.
5467,Do Not Disturb,1999,insufficient sample,2.0,insufficient sample,5.0,Missing,Missing,"Combining a family vacation with business, Walter Richmond (William Hurt) takes his wife (Jennifer Tilly) and their 10-year-old, mute daughter, Melissa (Francesca Brown), to the Netherlands -- where Melissa inadvertently witnesses a murder. Unable to tell anyone what she's seen, the frightened girl vanishes in an attempt to elude the killers. Meanwhile, her parents try desperately to piece together the puzzle leading to Melissa's disappearance."
5468,Deceived,1991,Missing,Missing,Missing,Missing,Missing,Missing,"A marriage that seemed perfect comes crashing down after the supposed death of Jack Saunders, husband of Adrienne Saunders. After his supposed death, strange developments begin to be discovered by Adrienne regarding Jack's past. Developments that lead her to believe she has been Deceived."
5469,Desert Saints,2002,insufficient sample,7.0,insufficient sample,7.0,Missing,Missing,"Kiefer Sutherland is a hard-edged hit man. Known as the world's best professional killer, Sutherland is living a life of detached solitude when he is given an assignment that pairs him up with a sultry hitchhiker (Melora Walters). Before long, he finds there is more to her than meets the eye, as he becomes entangled deeper and deeper into a web of fatal lies and double-crosses."
5470,Caterina va in cittÃ ,2003,insufficient sample,3.0,insufficient sample,7.0,Missing,Missing,"When her father, Giancarlo is transferred to Rome from the small country town of Montalto Di Castro, Caterina, a 12 years old girl, will discover her new classmates, a totally new world, an ambient extremely divided politically."
5471,Modigliani,2004,insufficient sample,2.0,insufficient sample,10.0,Missing,Missing,"Set in Paris in 1919, biopic centers on the life of late Italian artist Amedeo Modigliani, focusing on his last days as well as his rivalry with Pablo Picasso. Modigliani, a Jew, has fallen in love with Jeanne, a young and beautiful Catholic girl. The couple has an illegitimate child, and Jeanne's bigoted parents send the baby to a faraway convent to be raised by nuns. Modigliani is distraught and"
5472,The I Inside,2004,insufficient sample,4.0,Missing,Missing,Missing,Missing,"Simon Cable wakes up in a hospital bed, confused and disoriented. He soon discovers from doctors that he has amnesia and is unable to remember the last two years of his life. Cable investigates what has happened to him and slowly pieces together his enigmatic past."
5473,War of the Worlds,2005,0.24324324324324326,37.0,0.28,25.0,3,There are two or more women in this movie and they talk to each other about something other than a man,"Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop off his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down."
5474,La Marche de l'empereur,2005,insufficient sample,1.0,insufficient sample,3.0,Missing,Missing,"Every year, thousands of Antarctica's emperor penguins make an astonishing journey to breed their young. They walk, marching day and night in single file 70 miles into the darkest, driest and coldest continent on Earth.  Morgan Freeman narrates this amazing, true-life tale touched with humour and alive with thrills. Breathtaking photography captures the transcendent beauty and staggering drama of devoted parent penguins who, in the fierce polar winter, take turns guarding their egg and trekking to the ocean in search of food. Predators hunt them, storms lash them. But the safety of their adorable chicks makes it all worthwhile. So follow the leader ... to adventure!!"
5475,Ã€ tout de suite,2004,insufficient sample,3.0,insufficient sample,6.0,Missing,Missing,"A girl from bourgeoisie discovers the pleasures of banditism, following her lover in his lifestyle."
5476,Julian Po,1997,Missing,Missing,insufficient sample,7.0,Missing,Missing,"Christian Slater is a stranger who comes to a small town. The local citizens think he's up to no good. After bothering him for a while, he blurts out in frustration, that he is there to kill himself."
5477,The God Who Wasn't There,2005,insufficient sample,3.0,insufficient sample,2.0,Missing,Missing,"Did Jesus exist? This film starts with that question, then goes on to examine Christianity as a whole."
5479,Ha-Kochavim Shel Shlomi,2003,Missing,Missing,insufficient sample,2.0,Missing,Missing,"16 years old Shlomi lives with his restless mother, his soldier brother and their ill grandfather. Although not doing well in school, Shlomi is a gifted cook and takes care of most household chores. One day, the school's principal finds out Shlomi is actually a genius and tries to get him into a more suitable curriculum. However, Shlomi is more interested in taking care of his family and his new love interest, the beautiful girl next door."
5481,Dark Water,2005,0.36363636363636365,11.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man,"Dahlia Williams and her daughter Cecelia move into a rundown apartment on New York's Roosevelt Island. She is currently in midst of divorce proceedings and the apartment, though near an excellent school for her daughter, is all she can afford. From the time she arrives, there are mysterious occurrences and there is a constant drip from the ceiling in her daughter's bedroom."
5484,Murderball,2005,insufficient sample,1.0,Missing,Missing,Missing,Missing,"Quadriplegics, who play full-contact rugby in wheelchairs, overcome unimaginable obstacles to compete in the Paralympic Games in Athens, Greece."
